# grcolor, gmag
-2.920000000000000373e-01 1.398200000000000109e+01
-2.850000000000001421e-01 1.385999999999999943e+01
-2.760000000000000231e-01 1.372900000000000098e+01
-2.690000000000001279e-01 1.362400000000000055e+01
-2.609999999999998987e-01 1.350999999999999979e+01
-2.500000000000000000e-01 1.338300000000000090e+01
-2.420000000000002149e-01 1.329299999999999926e+01
-2.350000000000000977e-01 1.319599999999999973e+01
-2.259999999999999787e-01 1.310999999999999943e+01
-2.179999999999999716e-01 1.302599999999999980e+01
-2.099999999999999645e-01 1.294599999999999973e+01
-2.019999999999999574e-01 1.285800000000000054e+01
-1.939999999999999503e-01 1.277400000000000091e+01
-1.850000000000000533e-01 1.270100000000000051e+01
-1.749999999999998224e-01 1.261200000000000010e+01
-1.659999999999999254e-01 1.253600000000000136e+01
-1.520000000000001350e-01 1.245199999999999996e+01
-1.360000000000001208e-01 1.237700000000000067e+01
-1.089999999999999858e-01 1.231800000000000139e+01
-6.800000000000006040e-02 1.230000000000000071e+01
-1.299999999999990052e-02 1.233399999999999963e+01
3.400000000000025224e-02 1.237800000000000011e+01
1.040000000000000924e-01 1.239300000000000068e+01
1.810000000000000497e-01 1.240099999999999980e+01
2.219999999999999751e-01 1.241900000000000048e+01
2.930000000000001492e-01 1.246100000000000030e+01
3.570000000000002061e-01 1.251100000000000101e+01
4.050000000000002487e-01 1.254400000000000048e+01
4.089999999999998082e-01 1.255100000000000016e+01
3.569999999999997620e-01 1.246600000000000108e+01
3.220000000000000639e-01 1.241999999999999993e+01
2.860000000000000320e-01 1.237400000000000055e+01
2.259999999999999787e-01 1.230600000000000094e+01
1.699999999999999289e-01 1.224399999999999977e+01
1.179999999999998828e-01 1.219000000000000128e+01
7.299999999999995381e-02 1.214600000000000080e+01
2.899999999999991473e-02 1.210500000000000043e+01
-1.099999999999967670e-02 1.207200000000000095e+01
-5.499999999999971578e-02 1.204000000000000092e+01
-9.099999999999974776e-02 1.204000000000000092e+01
-1.200000000000001066e-01 1.206500000000000128e+01
-1.370000000000000107e-01 1.210100000000000087e+01
-1.510000000000002451e-01 1.215600000000000058e+01
-1.610000000000000320e-01 1.222000000000000064e+01
-1.709999999999998188e-01 1.228600000000000136e+01
-1.810000000000000497e-01 1.234700000000000131e+01
-1.899999999999999467e-01 1.240700000000000003e+01
-2.009999999999996234e-01 1.247100000000000009e+01
-2.099999999999999645e-01 1.252899999999999991e+01
-2.199999999999997513e-01 1.258800000000000097e+01
-2.280000000000002025e-01 1.263899999999999935e+01
-2.370000000000000995e-01 1.267900000000000027e+01
-2.400000000000002132e-01 1.267099999999999937e+01
-2.320000000000002061e-01 1.250600000000000023e+01
-2.200000000000001954e-01 1.236500000000000021e+01
-2.089999999999996305e-01 1.222900000000000098e+01
-1.960000000000001741e-01 1.212199999999999989e+01
-1.840000000000001634e-01 1.200500000000000078e+01
-1.719999999999997087e-01 1.189799999999999969e+01
-1.629999999999998117e-01 1.183099999999999952e+01
-1.510000000000002451e-01 1.176399999999999935e+01
-1.400000000000001243e-01 1.171499999999999986e+01
-1.230000000000002203e-01 1.167999999999999972e+01
-1.020000000000003126e-01 1.165900000000000070e+01
-7.100000000000017408e-02 1.166600000000000037e+01
-4.000000000000003553e-02 1.168599999999999994e+01
-4.999999999999893419e-03 1.170700000000000074e+01
3.100000000000013856e-02 1.172600000000000087e+01
8.599999999999985434e-02 1.174800000000000111e+01
1.229999999999997762e-01 1.175900000000000034e+01
1.890000000000000568e-01 1.176399999999999935e+01
2.219999999999999751e-01 1.175400000000000134e+01
2.570000000000001172e-01 1.173799999999999955e+01
3.100000000000000533e-01 1.176500000000000057e+01
3.339999999999996305e-01 1.180100000000000016e+01
4.310000000000000497e-01 1.194000000000000128e+01
