# g, gerr, r, rerr
2.174599999999999866e+01 7.199999999999999456e-02 2.121699999999999875e+01 7.399999999999999634e-02
1.846000000000000085e+01 1.299999999999999940e-02 1.707700000000000173e+01 1.299999999999999940e-02
1.861599999999999966e+01 1.400000000000000029e-02 1.797800000000000153e+01 1.600000000000000033e-02
1.693400000000000105e+01 8.000000000000000167e-03 1.648699999999999832e+01 1.200000000000000025e-02
1.469800000000000040e+01 7.000000000000000146e-03 1.417500000000000071e+01 7.000000000000000146e-03
2.235800000000000054e+01 1.189999999999999947e-01 2.184700000000000131e+01 1.069999999999999979e-01
2.192200000000000060e+01 7.900000000000000078e-02 2.151999999999999957e+01 8.699999999999999400e-02
2.167500000000000071e+01 6.099999999999999867e-02 2.109700000000000131e+01 5.700000000000000205e-02
2.098199999999999932e+01 4.299999999999999656e-02 2.062500000000000000e+01 3.099999999999999978e-02
1.766300000000000026e+01 2.900000000000000147e-02 1.699699999999999989e+01 2.599999999999999881e-02
2.066700000000000159e+01 2.599999999999999881e-02 2.031299999999999883e+01 4.100000000000000172e-02
2.143900000000000006e+01 5.199999999999999761e-02 2.105000000000000071e+01 5.600000000000000117e-02
9.999899999999999523e+01 9.999000000000000554e+00 9.999899999999999523e+01 9.999000000000000554e+00
2.157499999999999929e+01 5.500000000000000028e-02 2.057199999999999918e+01 3.599999999999999728e-02
2.107700000000000173e+01 4.000000000000000083e-02 2.070899999999999963e+01 4.499999999999999833e-02
2.287099999999999866e+01 1.409999999999999865e-01 2.183899999999999864e+01 9.199999999999999845e-02
1.928500000000000014e+01 1.499999999999999944e-02 1.891000000000000014e+01 1.400000000000000029e-02
2.237600000000000122e+01 8.300000000000000433e-02 2.180999999999999872e+01 1.170000000000000068e-01
2.075000000000000000e+01 3.599999999999999728e-02 1.966700000000000159e+01 2.100000000000000130e-02
2.267399999999999949e+01 1.419999999999999873e-01 2.135999999999999943e+01 7.199999999999999456e-02
2.040299999999999869e+01 3.200000000000000067e-02 2.010000000000000142e+01 3.500000000000000333e-02
2.129599999999999937e+01 5.199999999999999761e-02 2.074599999999999866e+01 4.700000000000000011e-02
2.187500000000000000e+01 8.000000000000000167e-02 2.042800000000000082e+01 3.799999999999999906e-02
2.238200000000000145e+01 9.900000000000000466e-02 2.189000000000000057e+01 1.150000000000000050e-01
2.024299999999999855e+01 2.400000000000000050e-02 1.910900000000000176e+01 1.600000000000000033e-02
2.155799999999999983e+01 6.400000000000000133e-02 2.114199999999999946e+01 5.899999999999999689e-02
2.116700000000000159e+01 4.200000000000000261e-02 2.001399999999999935e+01 2.599999999999999881e-02
2.322200000000000131e+01 2.039999999999999869e-01 2.162000000000000099e+01 9.600000000000000200e-02
2.140899999999999892e+01 4.200000000000000261e-02 2.090500000000000114e+01 5.399999999999999939e-02
2.255300000000000082e+01 1.519999999999999962e-01 2.179799999999999827e+01 8.200000000000000344e-02
1.957700000000000173e+01 2.599999999999999881e-02 1.931599999999999895e+01 2.000000000000000042e-02
2.161799999999999855e+01 6.600000000000000311e-02 2.106299999999999883e+01 6.199999999999999956e-02
2.113599999999999923e+01 4.499999999999999833e-02 2.075100000000000122e+01 4.299999999999999656e-02
1.561599999999999966e+01 1.299999999999999940e-02 1.522499999999999964e+01 1.099999999999999936e-02
2.073999999999999844e+01 2.699999999999999969e-02 1.929100000000000037e+01 2.100000000000000130e-02
1.878600000000000136e+01 1.600000000000000033e-02 1.841100000000000136e+01 1.400000000000000029e-02
1.513599999999999923e+01 1.200000000000000025e-02 1.441099999999999959e+01 8.000000000000000167e-03
2.108500000000000085e+01 3.899999999999999994e-02 2.025600000000000023e+01 2.800000000000000058e-02
1.991799999999999926e+01 2.100000000000000130e-02 1.963800000000000168e+01 2.100000000000000130e-02
2.114699999999999847e+01 4.299999999999999656e-02 2.081700000000000017e+01 4.499999999999999833e-02
2.112500000000000000e+01 1.010000000000000064e-01 2.075700000000000145e+01 5.999999999999999778e-02
