# B, V
1.559600000000000009e+01 1.508799999999999919e+01
1.693799999999999883e+01 1.581499999999999950e+01
1.708000000000000185e+01 1.619000000000000128e+01
1.441300000000000026e+01 1.369299999999999962e+01
1.245500000000000007e+01 1.209999999999999964e+01
1.249699999999999989e+01 1.211100000000000065e+01
1.223600000000000065e+01 1.197000000000000064e+01
1.661400000000000077e+01 1.574499999999999922e+01
1.528100000000000058e+01 1.404199999999999982e+01
1.281099999999999994e+01 1.199600000000000044e+01
1.086499999999999844e+01 1.064899999999999913e+01
1.412400000000000055e+01 1.374900000000000055e+01
1.480499999999999972e+01 1.392600000000000016e+01
1.480600000000000094e+01 1.439000000000000057e+01
1.527800000000000047e+01 1.482099999999999973e+01
1.568799999999999883e+01 1.480199999999999960e+01
1.415000000000000036e+01 1.370400000000000063e+01
1.654500000000000171e+01 1.586700000000000088e+01
1.627700000000000102e+01 1.531499999999999950e+01
1.709900000000000020e+01 1.620700000000000074e+01
1.649599999999999866e+01 1.563499999999999979e+01
1.490600000000000058e+01 1.413100000000000023e+01
1.530400000000000027e+01 1.455199999999999960e+01
1.651200000000000045e+01 1.582099999999999973e+01
1.540600000000000058e+01 1.480700000000000038e+01
1.367800000000000082e+01 1.339700000000000024e+01
1.686899999999999977e+01 1.608399999999999963e+01
1.593999999999999950e+01 1.520599999999999952e+01
1.600400000000000134e+01 1.523399999999999999e+01
1.705899999999999750e+01 1.624299999999999855e+01
1.618100000000000094e+01 1.550000000000000000e+01
1.697100000000000009e+01 1.603099999999999881e+01
1.265000000000000036e+01 1.199200000000000088e+01
1.548700000000000010e+01 1.478500000000000014e+01
1.608200000000000074e+01 1.531900000000000084e+01
1.573700000000000010e+01 1.526800000000000068e+01
1.525799999999999912e+01 1.451299999999999990e+01
1.673400000000000176e+01 1.610500000000000043e+01
1.504300000000000104e+01 1.434500000000000064e+01
1.531499999999999950e+01 1.402299999999999969e+01
1.690299999999999869e+01 1.619800000000000040e+01
1.501999999999999957e+01 1.459699999999999953e+01
1.439499999999999957e+01 1.392999999999999972e+01
1.579300000000000104e+01 1.504100000000000037e+01
1.429100000000000037e+01 1.384699999999999953e+01
1.580499999999999972e+01 1.501299999999999990e+01
9.515000000000000568e+00 9.272999999999999687e+00
1.632000000000000028e+01 1.533799999999999919e+01
1.685999999999999943e+01 1.592699999999999960e+01
1.660099999999999909e+01 1.578899999999999970e+01
1.574199999999999910e+01 1.523499999999999943e+01
1.568099999999999916e+01 1.516999999999999993e+01
1.528899999999999970e+01 1.449600000000000044e+01
1.678599999999999781e+01 1.584699999999999953e+01
1.195600000000000129e+01 1.172300000000000075e+01
1.562000000000000099e+01 1.470400000000000063e+01
1.603999999999999915e+01 1.536700000000000088e+01
1.666799999999999926e+01 1.586999999999999922e+01
1.628699999999999903e+01 1.554199999999999982e+01
1.355499999999999972e+01 1.298700000000000010e+01
1.481099999999999994e+01 1.403299999999999947e+01
1.517300000000000004e+01 1.470800000000000018e+01
1.571000000000000085e+01 1.468200000000000038e+01
1.700199999999999889e+01 1.613899999999999935e+01
1.687800000000000011e+01 1.600600000000000023e+01
1.724599999999999866e+01 1.640099999999999980e+01
1.504799999999999827e+01 1.378999999999999915e+01
