ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_mean_flux_over_error,bp_rp,teff_val,lum_val
290.24990534496226,43.97856728489174,0.7532032935039706,0.018863507873704735,-3.0793107342796975,2.547509835892826,14.656371,15.029812,631.52576,14.120581,899.1801,0.9092312,5438.3335,1.853648
290.3162349674796,44.3380135388306,1.0960009136127493,0.03519195606119444,-0.6190273283699703,10.503350681794041,15.945428,16.47289,306.8213,15.28131,597.9997,1.1915808,4979.52,0.28778198
290.22027726208995,43.78777955228232,-0.07440950770569055,0.10699686816007213,9.052635984390081,-0.35214036236935964,16.821043,17.231583,109.464806,16.179392,278.70474,1.0521908,5121.377,
290.5562762957954,44.1762446119502,0.910480845944149,0.029903596677334467,3.652532754624541,-0.1958766712872868,15.758949,16.250313,292.84262,15.114837,449.11743,1.1354761,4937.86,0.49987596
290.4571396335247,44.198379381258256,0.841969750029417,0.014916123501023332,-4.680851884966131,0.28679543286566334,13.806912,14.122188,841.1782,13.332414,1005.3294,0.78977394,5915.0024,3.128239
290.406691404449,44.13729831004709,0.14411160972134435,0.06362588835266401,-2.9990646620970165,-6.109846700534916,17.087017,17.476063,125.12903,16.53702,252.27614,0.93904305,,
290.18808311338125,43.541483195436584,0.5560116743718336,0.05289760715363817,1.4209805041059507,-3.723740613243727,16.738047,17.216644,187.91388,16.091839,273.13657,1.1248055,4932.68,0.54466116
290.11504940020103,44.40216665273999,0.26745829573858854,0.03902441112094465,-1.4741345710270315,-0.6529663096978306,16.271687,16.649069,257.5817,15.738061,326.55255,0.9110079,5431.93,
290.61895658922015,44.11632986196298,0.26538021652935534,0.04642688953358268,-1.7966747894372515,-7.793202992983084,16.614628,17.163574,151.3699,15.934252,353.2761,1.2293224,4997.2026,
290.38984910132336,44.32402011527429,2.593698289627117,0.028087031393728618,-23.925600176852218,-44.65965199925204,15.488732,16.29005,152.36069,14.608863,749.2952,1.6811876,4220.0,0.10326234
290.17332410401167,44.06169107772472,0.26219442828002976,0.01705779209011612,-5.289678519624115,-3.3967328857835657,14.568901,15.135151,699.384,13.870309,1397.6709,1.264842,5043.605,17.625254
289.9136271259373,44.04386636775989,0.38034323094379335,0.032987286451941676,-1.7521137550314907,-2.120718248487914,15.909777,16.23103,204.64449,15.422998,387.599,0.8080311,5814.5,2.2214541
