# BVcolor, Vmag
-2.600000000000002309e-02 1.615200000000000102e+01
2.800000000000002487e-02 1.616400000000000148e+01
1.000000000000000888e-01 1.621100000000000207e+01
1.800000000000000488e-01 1.628600000000000136e+01
2.240000000000000879e-01 1.633300000000000196e+01
3.130000000000000560e-01 1.644000000000000128e+01
3.809999999999998943e-01 1.654599999999999937e+01
4.340000000000000524e-01 1.665599999999999881e+01
4.899999999999999911e-01 1.678099999999999881e+01
5.229999999999999094e-01 1.668900000000000006e+01
5.370000000000000329e-01 1.658099999999999952e+01
5.470000000000000417e-01 1.645599999999999952e+01
5.560000000000000497e-01 1.633300000000000196e+01
5.630000000000000560e-01 1.621100000000000207e+01
5.689999999999999503e-01 1.609499999999999886e+01
5.759999999999999565e-01 1.597300000000000075e+01
5.820000000000000728e-01 1.586200000000000010e+01
5.889999999999999680e-01 1.575500000000000078e+01
5.949999999999999734e-01 1.566800000000000104e+01
6.009999999999999787e-01 1.559200000000000053e+01
6.069999999999999840e-01 1.552700000000000102e+01
6.109999999999999876e-01 1.545899999999999963e+01
6.169999999999999929e-01 1.539300000000000068e+01
6.200000000000001066e-01 1.533699999999999974e+01
6.250000000000000000e-01 1.528599999999999959e+01
6.280000000000000027e-01 1.523200000000000109e+01
6.290000000000000036e-01 1.523300000000000054e+01
6.280000000000000027e-01 1.523900000000000077e+01
6.499999999999999112e-01 1.497700000000000031e+01
1.900000000000000022e-01 1.586800000000000033e+01
2.229999999999999760e-01 1.589199999999999946e+01
2.179999999999999716e-01 1.587800000000000011e+01
2.469999999999999973e-01 1.589300000000000068e+01
2.369999999999999885e-01 1.583500000000000085e+01
1.940000000000000335e-01 1.573799999999999955e+01
1.700000000000000122e-01 1.566200000000000081e+01
1.690000000000000113e-01 1.565900000000000070e+01
1.469999999999999918e-01 1.552500000000000036e+01
1.110000000000000014e-01 1.535500000000000043e+01
8.599999999999999312e-02 1.524200000000000088e+01
5.899999999999999689e-02 1.510400000000000098e+01
