# grcolor, gmag
7.309999999999999831e-01 1.525300000000000011e+01
7.479999999999999982e-01 1.511100000000000065e+01
7.640000000000000124e-01 1.497799999999999976e+01
7.810000000000000275e-01 1.484699999999999953e+01
8.009999999999999343e-01 1.471700000000000053e+01
8.230000000000000648e-01 1.457600000000000051e+01
8.410000000000000808e-01 1.444899999999999984e+01
8.619999999999998774e-01 1.432399999999999984e+01
8.860000000000001208e-01 1.420299999999999940e+01
9.139999999999999236e-01 1.407600000000000051e+01
9.410000000000000586e-01 1.396199999999999974e+01
9.680000000000001936e-01 1.385299999999999976e+01
1.000000000000000000e+00 1.374200000000000088e+01
1.031000000000000139e+00 1.364100000000000001e+01
1.036000000000000032e+00 1.362500000000000000e+01
2.719999999999999085e-01 1.647500000000000142e+01
2.839999999999999192e-01 1.647500000000000142e+01
2.989999999999999325e-01 1.647500000000000142e+01
3.019999999999999352e-01 1.647100000000000009e+01
3.039999999999999369e-01 1.646699999999999875e+01
3.050000000000000488e-01 1.646399999999999864e+01
3.040000000000000480e-01 1.646199999999999974e+01
3.019999999999999352e-01 1.645500000000000185e+01
2.980000000000000426e-01 1.644800000000000040e+01
2.950000000000000400e-01 1.644200000000000017e+01
2.920000000000000373e-01 1.643599999999999994e+01
2.939999999999999281e-01 1.643700000000000117e+01
2.970000000000000417e-01 1.643400000000000105e+01
3.050000000000000488e-01 1.643400000000000105e+01
3.179999999999999494e-01 1.643499999999999872e+01
3.360000000000000764e-01 1.643799999999999883e+01
3.549999999999998712e-01 1.643900000000000006e+01
3.790000000000000036e-01 1.644000000000000128e+01
4.049999999999999156e-01 1.643700000000000117e+01
4.320000000000000506e-01 1.642200000000000060e+01
4.410000000000000586e-01 1.641199999999999903e+01
4.539999999999999591e-01 1.639600000000000080e+01
4.979999999999999982e-01 1.630000000000000071e+01
5.120000000000000107e-01 1.626000000000000156e+01
5.380000000000000338e-01 1.618799999999999883e+01
5.549999999999999378e-01 1.612399999999999878e+01
5.819999999999999618e-01 1.599000000000000021e+01
